track_id,facility,configuration,location,length_mi,shape,surface,road_course,turns,banking,primary_family,secondary_family,tire_degradation_prior,track_position_premium_prior,passing_difficulty_prior,attrition_risk_prior,restart_volatility_prior,pit_road_importance_prior,qualifying_importance_prior,strategy_flexibility_prior,dfs_dominator_concentration_prior,finish_variance_prior,key_comparables,key_change_notes,racing_analysis,dfs_betting_implications,source_ids,confidence,status,completed_points_races_2015_2025,completed_points_races_2026_through_cutoff,future_scheduled_points_races_2026,scheduled_points_races_2026_total,scope_event_count_including_2026_schedule,first_year_in_scope,last_year_in_scope_or_schedule,event_count_evidence,score_type,evidence_class,structural_nearest_neighbors
dover,Dover Motor Speedway,1.0-mile concrete oval,"Dover, Delaware",1.0,high-banked oval,concrete,False,4,24 deg turns; 9 deg straights,High-banked compact oval,concrete one-mile rhythm track,7,8,7,7,8,8,8,6,9,6,Bristol concrete; Nashville,Dover’s 2026 Cup date is the non-points All-Star event and is intentionally excluded from the primary event count.,"Elevation change into and out of the corners creates a sustained-load rhythm problem. Track position and long-run balance matter, while concrete consistency does not eliminate rubber and tire-condition effects.","DFS: high dominator concentration and meaningful fastest-lap upside; prioritize cars likely to control long green runs. Betting: same-track and Bristol/Nashville concrete skill is useful, but no points race is scheduled in 2026.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S001,High,historical/current,17,0,0,0,17,2015,2025,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,nashville (88.2); bristol_concrete (83.8); martinsville (38.5); new_hampshire (31.2); phoenix_pre_2018f (31.1)
iowa,Iowa Speedway,0.875-mile oval,"Newton, Iowa",0.875,D-shaped short oval,asphalt,False,4,12-14 deg progressive,Short oval,progressive multi-groove short track,8,6,5,6,9,7,6,8,8,7,Richmond; North Wilkesboro; Phoenix,Cup points debut in 2024; small Cup sample. Surface patches and tire behavior are central event variables.,"Progressive banking and multiple lanes make Iowa less track-position locked than many flat short tracks. Tire falloff can create comers and goers, but restart aggression still produces sharp short-run variance.",DFS: combine long-run speed with moderate place-differential opportunity; dominators remain important due to lap count. Betting: Xfinity/Truck history can inform comfort but must be discounted for car and field differences.,S003;S004;S021;S022;S001;S039,Medium-High,historical/current,2,0,1,1,3,2024,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,north_wilkesboro (90.5); richmond (88.9); martinsville (52.2); new_hampshire (38.9); phoenix_post_2018f (38.4)
martinsville,Martinsville Speedway,0.526-mile oval,"Ridgeway, Virginia",0.526,paperclip oval,asphalt straights / concrete turns,False,4,12 deg turns,Short oval,flat braking/contact short track,5,8,8,7,10,8,8,8,8,7,North Wilkesboro; Richmond; New Hampshire,"No major physical split in scope; brake package, shifting rules, tire and horsepower are important era variables.","Martinsville is a braking, rotation and drive-off contest where traffic and lane control can overwhelm small pace differences. Passing often requires setting up exits or using contact, so average running position and restart retention are valuable diagnostics.","DFS: laps-led concentration makes dominators essential; starting position matters, but elite cars can move through the field over 500 laps. Betting: model retaliation/contact and late-race restart risk separately from baseline speed.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S039;S001,High,historical/current,22,1,1,2,24,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,north_wilkesboro (54.6); iowa (52.2); richmond (51.4); bristol_concrete (39.8); dover (38.5)
nashville,Nashville Superspeedway,1.333-mile concrete oval,"Lebanon, Tennessee",1.333,D-shaped oval,concrete,False,4,14 deg turns,High-banked compact oval,concrete aero/track-position hybrid,6,8,7,6,9,8,8,7,8,7,Dover; Gateway; Darlington (power bracket only),Cup points debut in 2021. At 1.333 miles it falls below the 1.5-mile threshold and receives the 750-hp package in 2026.,"Nashville blends concrete consistency, relatively narrow preferred lanes and intermediate-like speed. Restarts and pit cycles can create more passing than steady-state traffic does.","DFS: dominator candidates and clean-air speed carry large weight; deep value needs credible long-run pace. Betting: 2026 horsepower is a regime change, so shrink prior results and watch tire falloff/off-throttle time.",S003;S004;S018;S019;S020;S021;S022;S039;S001,High,historical/current,5,1,0,1,6,2021,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,dover (88.2); bristol_concrete (79.4); martinsville (38.2); wwt_gateway (31.6); new_hampshire (31.3)
new_hampshire,New Hampshire Motor Speedway,1.058-mile oval,"Loudon, New Hampshire",1.058,flat oval,asphalt,False,4,2-7 deg variable,Flat short oval,braking/track-position one-mile,6,8,8,5,9,8,8,8,8,6,Phoenix; Richmond; Gateway; Martinsville,One annual points race since 2018. Wet-weather tire capability and 2026 horsepower can alter race evolution.,"Low banking makes corner entry, center rotation and rear drive decisive. Passing comparable cars is difficult, so restart lane, pit sequence and short-run launch are strongly monetizable.","DFS: prioritize likely leaders and drivers with flat-track technique; place differential is capped when pace gaps are small. Betting: use a flat-track composite, but retain meaningful same-track weight because Loudon’s long corners are distinctive.",S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S039;S001,High,historical/current,14,0,1,1,15,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,phoenix_post_2018f (94.7); wwt_gateway (94.3); phoenix_pre_2018f (92.7); iowa (38.9); north_wilkesboro (38.7)
north_wilkesboro,North Wilkesboro Speedway,0.625-mile oval,"North Wilkesboro, North Carolina",0.625,asymmetrical short oval,aged asphalt,False,4,14 deg turns; elevation change,Short oval,worn asymmetric heritage short track,9,7,7,6,9,7,7,8,8,7,Martinsville; Iowa; Richmond,"First scheduled points-paying Cup race since 1996 is July 19, 2026; prior 2023-25 Cup events were non-points and are deferred from the primary sample.","Opposing elevation changes and old pavement create a traction-management problem distinct from a flat paperclip. The scheduled points sample is zero as of the research cutoff, so non-points observations are context only rather than primary evidence.","DFS/betting: use practice, tire falloff and recent non-points race craft as weak priors, then heavily weight qualifying and live-weekend evidence. Market confidence should be lower than at established short tracks.",S003;S004;S001;S002;S040;S039,High facts / Low points-sample,scheduled,0,0,1,1,1,2026,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,iowa (90.5); richmond (86.3); martinsville (54.6); new_hampshire (38.7); phoenix_post_2018f (38.2)
phoenix_pre_2018f,Phoenix Raceway,pre-November-2018 start/finish orientation,"Avondale, Arizona",1.0,asymmetrical dogleg oval,asphalt,False,4,9-11 deg turns,Flat short oval,pre-relocation Phoenix,5,8,8,4,7,8,8,7,8,5,New Hampshire; Richmond,"Start/finish line remained on the former frontstretch through spring 2018. Physical corners were similar, but restart geometry and lap segmentation changed in fall 2018.","The dogleg allowed line-cutting and shortcut geometry, but the old restart location changed when the most chaotic section appeared within a lap. Use as a related but distinct era rather than discarding it.",DFS/betting: apply decay to 2015-spring 2018 data and avoid combining raw restart/lead-change statistics with the post-relocation era.,S004;S012;S013;S014;S015;S026,High,historical/current,7,0,0,0,7,2015,2018,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,phoenix_post_2018f (97.8); new_hampshire (92.7); wwt_gateway (89.6); richmond (38.9); iowa (38.1)
phoenix_post_2018f,Phoenix Raceway,November 2018+ start/finish orientation,"Avondale, Arizona",1.0,asymmetrical dogleg oval,asphalt,False,4,9-11 deg turns,Flat short oval,restart-fanout championship short track,5,8,8,4,9,8,8,7,8,5,New Hampshire; Richmond; Gateway,Start/finish moved to the former Turn 2 for the November 2018 race; championship finale since 2020. 2026 uses 750 hp.,"The relocated line makes the dogleg a first-lap/restart decision point, amplifying lane choice and launch. Long-run passing remains difficult, so clean air and pit execution can outweigh small speed differences.",DFS: leader exposure is important; championship races may change strategy/incentives but not the underlying geometry. Betting: use post-2018 data preferentially and treat 2026 horsepower/tire changes as a new sub-era.,S003;S004;S015;S016;S017;S018;S019;S020;S021;S022;S026;S039;S001,High,historical/current,15,1,1,2,17,2018,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,phoenix_pre_2018f (97.8); new_hampshire (94.7); wwt_gateway (91.4); richmond (38.5); iowa (38.4)
richmond,Richmond Raceway,0.75-mile oval,"Richmond, Virginia",0.75,D-shaped short oval,asphalt,False,4,14 deg turns,Short oval,tire-wear strategy short track,8,6,6,4,7,8,6,9,8,5,Iowa; Phoenix; New Hampshire,Schedule reduced to one annual points race beginning in 2025. Option-tire experiments/rules should be treated as event-level flags.,"Richmond’s low banking and worn surface create meaningful falloff and undercut/overcut choices. The track can look processional when tire deltas are small, but becomes strategically rich when compounds or long runs create speed separation.",DFS: long-run pace and pit-cycle fastest laps matter more than single-lap qualifying. Betting: tire compound and weather should be first-class model inputs; same-track history is portable only across similar tire regimes.,S003;S004;S012;S013;S014;S015;S016;S017;S018;S019;S020;S021;S022;S039;S001,High,historical/current,20,0,1,1,21,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,iowa (88.9); north_wilkesboro (86.3); martinsville (51.4); phoenix_pre_2018f (38.9); phoenix_post_2018f (38.5)
wwt_gateway,World Wide Technology Raceway,1.25-mile oval,"Madison, Illinois",1.25,egg-shaped oval,asphalt,False,4,11 deg turns 1-2; 9 deg turns 3-4,Flat short oval,asymmetric braking/power oval,5,8,8,6,9,8,8,8,8,6,New Hampshire; Phoenix; Pocono,Cup points debut in 2022; 2026 uses 750 hp because the oval is under 1.5 miles.,"Different corner radii force compromise and reward braking stability plus drive off. Passing is difficult in steady state, so pit sequencing, restarts and mechanical reliability can dominate finishing order.","DFS: likely leaders and track-position plays are favored; deep place differential needs a meaningful speed mismatch. Betting: 2026 power is a regime break and may increase wheelspin/tire management, reducing direct portability of 2022-25 averages.",S003;S004;S019;S020;S021;S022;S039;S001,High,historical/current,4,0,1,1,5,2022,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,new_hampshire (94.3); phoenix_post_2018f (91.4); phoenix_pre_2018f (89.6); iowa (38.3); north_wilkesboro (38.1)
charlotte_roval_v1,Charlotte Motor Speedway Roval,2018-2023 road course,"Concord, North Carolina",2.32,oval/road hybrid,asphalt,True,17,oval banking plus flat infield,Hybrid road course,chicane/restart incident hybrid,4,8,7,9,10,9,8,9,6,9,Indianapolis road; Daytona road; Chicago street,"Initial Cup Roval era, 2018-2023. Reconfigured for 2024, so do not pool blindly.",The Roval combines high-speed oval commitment with low-speed infield braking and narrow chicanes. Stage and late-caution dynamics create incident clusters that are not explained by generic road-course pace.,"DFS: qualifying, place differential and incident-adjusted ceiling all matter; dominator scoring is lower than on ovals but fastest laps can concentrate. Betting: price restart/chicane survival and road-course skill separately.",S004;S015;S016;S017;S018;S019;S020;S028,High,historical/current,6,0,0,0,6,2018,2023,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,charlotte_roval_v2 (99.2); indianapolis_road (94.6); daytona_road (75.5); mexico_city (39.7); watkins_glen (39.1)
charlotte_roval_v2,Charlotte Motor Speedway Roval,2024+ reconfigured road course,"Concord, North Carolina",2.28,oval/road hybrid,asphalt,True,17,oval banking plus flat infield,Hybrid road course,revised hairpin/chicane hybrid,4,8,7,9,10,9,8,9,6,9,Charlotte Roval v1; Indianapolis road; Chicago street,Reconfigured for 2024; official entry length 2.28 miles and 17 turns. 2026 uses 750 hp.,"Small geometry changes alter braking sequences and restart flow enough to merit a separate configuration. Historical Roval skill remains relevant, but corner-specific incident rates and lap-time models need re-estimation.","DFS/betting: use v1 results as a shrunk driver-skill prior, not as identical-track data. Give practice and qualifying a high information value because the v2 points sample is small.",S003;S021;S022;S028;S039;S001,High facts / Medium behavior,historical/current,2,0,1,1,3,2024,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,charlotte_roval_v1 (99.2); indianapolis_road (93.9); daytona_road (75.0); mexico_city (39.6); watkins_glen (39.0)
chicago_street,Chicago Street Course,2.2-mile street course,"Chicago, Illinois",2.2,temporary street circuit,mixed public-road asphalt/concrete,True,12,flat,Street course,narrow low-grip street circuit,3,9,9,9,10,9,9,9,6,10,San Diego; Charlotte Roval; Indianapolis road,Points races 2023-2025; paused for 2026 with potential future return. Weather materially affected the inaugural race.,"Narrow walls, surface transitions and limited runoff convert small errors into large losses. Passing zones are scarce enough that qualifying and pit timing matter, while cautions and weather can reset the event violently.","DFS: road/street specialists and place differential matter, but crash-adjusted projections need wide distributions. Betting: use conservative staking and avoid treating three races as a stable frequency estimate; live weather is essential.",S003;S004;S020;S021;S022;S034,High facts / Medium priors,historical/future-possible,3,0,0,0,3,2023,2025,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,san_diego_street (71.7); charlotte_roval_v2 (31.4); charlotte_roval_v1 (31.3); indianapolis_road (30.8); mexico_city (30.2)
cota_full,Circuit of The Americas,2021-2024 full course,"Austin, Texas",3.41,permanent road course,asphalt,True,20,significant elevation change,Permanent road course,long technical full course,5,6,4,7,10,9,7,9,6,8,Road America; Sonoma; Indianapolis road,First four Cup races used the full roughly 3.4-mile circuit; shortened in 2025.,"The full layout combined long straights, technical esses, heavy braking and weather sensitivity. Long laps increased the cost of an off-course event and created broad pit-window options.","DFS: road-course skill and fastest-lap potential mattered, but stage/pit timing could invert running order. Betting: full-course results should not be treated as identical to 2025+ short COTA.",S003;S018;S019;S020;S021;S029,High,historical/current,4,0,0,0,4,2021,2024,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,road_america (84.5); cota_short (80.2); mexico_city (78.4); watkins_glen (76.7); sonoma_carousel (76.3)
cota_short,Circuit of The Americas,2025+ shortened course,"Austin, Texas",2.4,shortened permanent road course,asphalt,True,17,significant elevation change,Permanent road course,compressed technical road course,7,6,4,7,10,8,7,8,6,8,Sonoma short; Watkins Glen; Mexico City,"2025 revision shortened the course to 2.4 miles and 17 turns, increasing lap count from 68 to 95 in the first event. 2026 uses 750 hp.",The shorter lap compresses field encounters and adds restart/passing opportunities while preserving COTA’s braking and elevation identity. Softer tires can make degradation a more central variable than on the full course.,DFS: more laps modestly increase fastest-lap/dominator relevance; practice long runs and tire notes matter. Betting: give 2025-26 short-course data priority and retain full-course data only as driver/organization road-skill evidence.,S002;S022;S029;S030;S039,High,historical/current,1,1,0,1,2,2025,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,mexico_city (90.6); watkins_glen (89.2); sonoma_carousel (86.4); sonoma_short (81.5); cota_full (80.2)
daytona_road,Daytona International Speedway,3.61-mile road course,"Daytona Beach, Florida",3.61,oval/infield road course,asphalt,True,14,high-banked oval sections,Hybrid road course,high-speed oval/infield hybrid,4,7,6,7,9,9,8,9,6,8,Charlotte Roval; Indianapolis road,Two points races in scope: 2020 and 2021. No current points date.,"High-speed banked sections, bus-stop braking and infield traction created a unique hybrid. Tiny sample and changing car generations make track-specific averages fragile.","DFS/betting: use as a weak donor for Roval/Indy road-course skills, not a standalone predictive database.",S017;S018,High facts / Low sample,historical,2,0,0,0,2,2020,2021,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,indianapolis_road (78.9); charlotte_roval_v1 (75.5); charlotte_roval_v2 (75.0); cota_full (39.9); road_america (39.3)
indianapolis_road,Indianapolis Motor Speedway,2.439-mile road course,"Speedway, Indiana",2.439,oval/infield road course,asphalt,True,14,mostly flat,Hybrid road course,narrow braking-zone road course,4,7,6,8,10,9,8,9,6,9,Charlotte Roval; Daytona road; COTA short,Cup points races 2021-2023; oval returned in 2024.,"Long straights into heavy braking created dive-bomb opportunities and restart pileups. Track limits, curb geometry and incident management were at least as important as clean-lap speed.","DFS: road-course specialists carried ceiling, but attrition widened viable place-differential plays. Betting: do not carry these results into the Brickyard oval; use only for other braking-heavy road courses.",S018;S019;S020,High,historical/current,3,0,0,0,3,2021,2023,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,charlotte_roval_v1 (94.6); charlotte_roval_v2 (93.9); daytona_road (78.9); mexico_city (40.5); watkins_glen (40.0)
mexico_city,Autodromo Hermanos Rodriguez,2.42-mile road course,"Mexico City, Mexico",2.42,permanent road course,asphalt,True,15,high altitude; mostly flat circuit,Permanent road course,high-altitude technical road course,6,7,6,7,9,9,8,9,7,8,COTA short; Sonoma; Indianapolis road,First Cup points race in 2025; absent from 2026 schedule. One-race Cup sample.,"Altitude changes cooling, power and braking demands, while the stadium section and technical sequence reward precision. The single event should be analyzed as a case study, not a stable track average.",DFS/betting: road-course specialist priors dominate track history. Market uncertainty should remain high until multiple tire/weather/rules observations exist.,S022;S001,High facts / Low sample,historical/future-possible,1,0,0,0,1,2025,2025,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,sonoma_carousel (93.0); watkins_glen (92.3); cota_short (90.6); sonoma_short (86.8); cota_full (78.4)
road_america,Road America,4.048-mile road course,"Elkhart Lake, Wisconsin",4.048,long natural-terrain road course,asphalt,True,14,substantial elevation change,Permanent road course,long-lap high-speed natural terrain,4,6,5,7,8,9,7,10,6,8,Watkins Glen; COTA full,Cup points races in 2021 and 2022; no current date.,"The four-mile lap, elevation and long straights create broad strategy windows and punish mistakes with long recovery time. Caution timing can create enormous field inversions because a pit stop consumes a large fraction of a lap.","DFS: fastest laps and place differential are viable, but lap count suppresses conventional dominator volume. Betting: strategy variance and small Cup sample require wide confidence intervals.",S018;S019,High facts / Low sample,historical,2,0,0,0,2,2021,2022,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,cota_full (84.5); mexico_city (70.7); watkins_glen (70.4); sonoma_carousel (70.0); cota_short (69.9)
san_diego_street,Qualcomm Circuit at Naval Base Coronado,3.4-mile street/runway course,"Coronado, California",3.4,temporary street and runway circuit,mixed worn streets/runways,True,16,flat with mixed surfaces,Street course,fast mixed-surface military-base street course,7,7,6,8,9,9,8,9,6,8,Chicago street; Road America; COTA full,"Debuted June 21, 2026; one completed Cup points race as of cutoff. First active U.S. military installation to host a major NASCAR event.","Unlike Chicago’s compact canyon, San Diego combines long, fast sections with mixed worn pavement and runway surfaces. The first race provides evidence about braking, tire and passing zones, but one result cannot establish stable rates.","DFS/betting: treat track-specific history as near-zero; rely on street/road skill, practice, surface reports and setup adaptability. Apply a large novelty/incident uncertainty term.",S001;S002;S031;S032;S033;S039,High facts / Low sample,current,0,1,0,1,1,2026,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,chicago_street (71.7); daytona_road (31.4); cota_full (31.3); mexico_city (30.0); road_america (30.0)
sonoma_short,Sonoma Raceway,1.99-mile chute layout,"Sonoma, California",1.99,natural-terrain road course,asphalt,True,10,substantial elevation change,Permanent road course,technical tire-wear road course,8,7,7,6,8,9,8,9,7,7,COTA short; Mexico City; Watkins Glen,Used 2015-2018 and again from 2022; carousel layout used in 2019 and 2021. 2026 uses 750 hp.,"Sonoma’s elevation, low-speed traction and tire falloff make it one of the most complete road-course tests. Passing requires exit setup and braking confidence; pit windows can create undercut/overcut value.","DFS: road specialists with tire management and clean execution deserve priority; dominator points are secondary but not irrelevant. Betting: same-layout Sonoma data is highly valuable, with 2026 horsepower treated as a new sub-era.",S003;S004;S012;S013;S014;S015;S019;S020;S021;S022;S027;S039;S001,High,historical/current,8,1,0,1,9,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,sonoma_carousel (89.5); mexico_city (86.8); watkins_glen (83.9); cota_short (81.5); cota_full (70.0)
sonoma_carousel,Sonoma Raceway,2.52-mile carousel layout,"Sonoma, California",2.52,natural-terrain road course,asphalt,True,12,substantial elevation change,Permanent road course,long Sonoma carousel layout,7,7,7,6,8,9,8,9,7,7,Sonoma short; COTA full,Used for Cup points races in 2019 and 2021; 2020 event canceled.,"The carousel added sustained cornering and changed lap flow, tire energy and passing setup. Driver skill transfers to short Sonoma, but raw lap and strategy statistics do not.",DFS/betting: two-race sample is contextual only; map driver performance to road-course skill rather than current Sonoma track average.,S016;S018;S027,High facts / Low sample,historical,2,0,0,0,2,2019,2021,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,mexico_city (93.0); watkins_glen (90.7); sonoma_short (89.5); cota_short (86.4); cota_full (76.3)
watkins_glen,Watkins Glen International,2.45-mile road course,"Watkins Glen, New York",2.45,high-speed natural-terrain road course,asphalt,True,7,elevation change; fast corners,Permanent road course,high-speed flowing road course,4,7,5,6,9,8,8,8,7,7,Road America; COTA short; Sonoma,No major layout split in core window; chicane/curb and tire rules remain event variables. 2026 uses 750 hp.,"Watkins Glen rewards commitment, braking stability and exit speed more than low-speed rotation. Its speed profile makes it a poor one-for-one comparable for Sonoma despite both being road courses.","DFS: qualifying and road-course speed are important, with moderate fastest-lap concentration. Betting: weight high-speed road-course evidence and avoid overgeneralizing from street circuits.",S003;S004;S012;S013;S014;S015;S016;S018;S019;S020;S021;S022;S039;S001,High,historical/current,10,1,0,1,11,2015,2026,Calculated from annual points-race schedules S012-S022 and official 2026 schedule S001-S002.,"Analyst structural prior (1=low, 10=high); not an empirical measurement.",Verified Fact for physical/schedule fields; Calculated Result for event counts; Strong Inference for racing/DFS analysis; Working Hypothesis for prior scores.,mexico_city (92.3); sonoma_carousel (90.7); cota_short (89.2); sonoma_short (83.9); cota_full (76.7)
